   b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
a
49;68;82;62;79;61;74;72;59;-80;71;55;58;57;58;64;68;-64;66;56;55;70;82;67;;71;65;64;76;-60;66;-63;76;-80;-72;-64;-56;60;73;70;-76;60;72;71;65;;69;-54;66;-81;80;70;-72;68;72;78;79;78;81;65;-56;77;64;62;75;57;74;54;
50;-68;58;59;64;58;-64;69;56;53;76;73;61;55;73;75;66;-64;66;60;71;76;73;70;-60;84;54;-64;-56;61;64;70;70;76;80;56;60;66;66;72;75;-80;-72;82;52;-76;66;63;60;65;76;70;-72;70;61;63;81;75;63;60;83;80;67;-72;78;-72;77;78;
51;-68;75;61;82;75;64;66;70;66;83;69;76;56;65;-72;76;-60;66;-72;77;55;-64;-80;63;58;66;64;52;63;58;60;76;63;80;56;73;60;76;78;73;84;72;70;78;73;-56;-72;81;59;-64;70;-76;60;-64;71;80;60;67;53;70;66;70;-72;61;54;75;61;
52;-68;-72;63;70;60;82;66;76;-56;70;66;55;56;59;-72;83;63;76;-76;75;56;64;84;71;75;76;58;78;67;75;-72;63;-72;66;70;-64;73;-64;61;69;58;78;60;61;65;52;72;80;61;-60;60;73;53;64;77;80;81;70;66;-80;60;70;54;76;66;73;-64;
53;-68;70;-76;78;73;52;77;76;82;-72;71;-72;78;60;-80;-72;66;75;67;-64;72;80;66;66;83;75;66;60;73;60;63;55;56;75;61;80;81;73;76;63;76;70;61;53;70;70;56;64;-72;69;61;70;-64;-56;76;58;-64;65;64;54;60;59;84;63;58;-60;66;
54;68;64;-60;71;78;79;66;76;69;-56;72;70;-64;-81;62;71;;73;-72;74;57;64;60;78;82;68;66;65;81;61;56;-80;-54;77;59;82;-56;80;75;55;71;70;68;54;58;76;72;79;62;-64;-63;;65;74;55;-72;66;64;-80;67;60;70;57;58;65;-76;72;
55;68;64;-60;71;78;79;66;76;69;-56;72;70;-64;-81;62;71;;73;-72;74;57;64;60;78;82;68;66;65;81;61;56;-80;-54;77;59;82;-56;80;75;55;71;70;68;54;58;76;72;79;62;-64;-63;;65;74;55;-72;66;64;-80;67;60;70;57;58;65;-76;72;
56;68;65;70;-80;-72;65;-64;72;54;71;80;59;-80;81;68;60;74;;-81;72;76;78;64;-76;57;67;66;74;-63;79;58;70;75;82;-54;61;66;78;57;73;62;70;69;79;-60;72;58;60;64;55;;62;76;68;55;-56;77;56;65;82;64;-72;71;-64;-56;66;71;
57;-68;-72;67;60;81;70;76;63;52;-80;66;56;70;61;54;70;71;-64;73;73;56;58;58;77;-72;83;75;61;70;60;-76;-72;72;60;76;64;-64;-60;76;66;75;61;53;-64;59;78;78;80;63;63;-72;65;66;82;75;66;80;70;-56;84;73;60;66;55;76;69;64;
58;-68;76;60;-56;66;66;63;78;-64;75;-60;76;-72;70;83;58;73;71;61;66;63;81;-72;69;66;84;80;82;-72;80;59;61;76;64;72;60;75;77;56;-64;54;56;52;70;67;64;55;73;70;75;65;63;78;53;66;-64;60;-76;61;-72;58;73;70;70;-80;76;60;
59;68;62;81;68;66;71;73;-80;76;67;66;57;59;62;57;-56;78;80;;-76;-64;66;71;55;64;71;61;54;64;78;-72;-54;72;60;76;64;82;-64;58;72;82;75;65;72;-81;65;70;-72;-60;;56;58;-80;79;74;77;79;70;69;60;-56;-63;65;70;68;55;74;
60;68;60;58;72;64;54;-76;57;68;65;74;70;58;-72;71;57;73;55;70;;75;60;71;80;67;62;-56;-80;-81;82;64;-64;59;66;70;77;-72;72;-54;55;-56;-80;74;69;56;65;76;61;;66;81;-63;79;65;-64;78;66;62;71;68;79;-60;82;72;64;78;76;
61;-68;83;-72;52;60;-56;71;61;64;-72;63;63;72;70;70;75;69;77;63;76;-72;80;54;66;76;58;80;70;-76;66;61;76;55;58;78;81;60;75;70;-60;66;56;78;60;70;82;56;-64;60;73;59;67;61;66;66;64;73;73;-64;-72;75;65;-80;76;84;-64;53;
62;68;65;70;-80;-72;65;-64;72;54;71;80;59;-80;81;68;60;74;;-81;72;76;78;64;-76;57;67;66;74;-63;79;58;70;75;82;-54;61;66;78;57;73;62;70;69;79;-60;72;58;60;64;55;;62;76;68;55;-56;77;56;65;82;64;-72;71;-64;-56;66;71;
63;-68;70;-76;78;73;52;77;76;82;-72;71;-72;78;60;-80;-72;66;75;67;-64;72;80;66;66;83;75;66;60;73;60;63;55;56;75;61;80;81;73;76;63;76;70;61;53;70;70;56;64;-72;69;61;70;-64;-56;76;58;-64;65;64;54;60;59;84;63;58;-60;66;
64;68;67;;54;82;65;74;70;71;57;55;72;75;56;60;62;66;-76;64;-64;70;77;68;73;-56;64;60;65;58;-56;81;57;-64;78;58;-72;79;55;-80;78;71;76;72;-80;-63;68;59;66;-72;72;-60;70;74;76;80;61;64;-81;79;65;66;62;71;-54;82;;69;
65;68;60;58;72;64;54;-76;57;68;65;74;70;58;-72;71;57;73;55;70;;75;60;71;80;67;62;-56;-80;-81;82;64;-64;59;66;70;77;-72;72;-54;55;-56;-80;74;69;56;65;76;61;;66;81;-63;79;65;-64;78;66;62;71;68;79;-60;82;72;64;78;76;
66;-68;54;70;53;80;60;-64;-72;78;84;76;56;76;63;66;-80;77;-60;65;69;70;75;75;75;-72;70;60;-64;70;81;73;72;78;73;63;58;64;63;55;66;-72;76;66;64;61;61;61;66;67;71;-76;59;-56;70;73;60;80;60;52;58;-64;-72;76;56;83;66;82;
